Date,ARIMA_Prediction
2025-01-01,249.76071463583662
2025-01-02,249.860985564228
2025-01-03,249.7892781135643
2025-01-04,249.7144803836056
2025-01-05,249.70475050901217
2025-01-06,249.71357769872407
2025-01-07,249.7150882612304
2025-01-08,249.7127525148795
2025-01-09,249.71164592415946
2025-01-10,249.71181092991006
2025-01-11,249.7120187737086
2025-01-12,249.7120012666612
2025-01-13,249.71194556049278
2025-01-14,249.71193552420914
2025-01-15,249.71194404382098
2025-01-16,249.71194716101493
2025-01-17,249.71194571588387
2025-01-18,249.71194470202613
2025-01-19,249.71194478403933
2025-01-20,249.71194499824804
2025-01-21,249.71194501450017
2025-01-22,249.71194496998186
2025-01-23,249.71194495741983
2025-01-24,249.71194496411425
2025-01-25,249.71194496784082
2025-01-26,249.7119449670537
2025-01-27,249.71194496609868
2025-01-28,249.71194496607905
2025-01-29,249.71194496627277
2025-01-30,249.71194496631094
